CountryCode,Color,HasLowTesting,LastUpdate,NotificationRatePer100000,PositiveRate,TestsPer100000
AGO,NO_DATA,True,2022-03-12,0.0,0.0,72.09999999999965
ALB,ORANGE,True,2022-05-16,16.220399999999792,15.603448275862439,55.09999999999309
AND,NO_DATA,False,2022-02-17,1105.3081000000006,47.982450035687584,1120.8000000000084
ARE,ORANGE,False,2022-05-19,40.976600000000325,0.1678476009223057,13661.499999999978
ARG,RED,True,2022-05-14,113.22019999999902,32.37523892267526,230.2000000000021
ARM,GREEN,False,2022-05-15,1.3477000000013504,0.1690174092653576,338.89999999998963
AUS,DARKRED,False,2022-05-18,2684.702899999998,57.579152172154906,2472.1999999999753
AUT,DARKRED,False,2022-05-19,682.3787000000011,2.2056784786326173,13508.899999999994
AZE,GREEN,True,2022-05-18,0.9389999999999418,0.21327467482773604,261.4000000000033
BDI,NO_DATA,True,2022-03-12,7.098900000000003,2.2474387527839608,134.70000000000084
BEL,RED,False,2022-05-17,395.07969999999625,14.975859047990063,1027.2999999999683
BFA,NO_DATA,True,2022-02-15,0.15819999999999937,0.0,11.800000000000033
BGD,GREEN,True,2022-05-08,0.23520000000007713,2.546808510637936,4.7000000000011255
BGR,RED,False,2022-05-18,60.79759999999951,5.053784219001763,558.8999999999942
BHR,DARKRED,False,2022-05-19,524.5681999999972,12.51340957977032,1906.0999999999694
BHS,RED,True,2022-05-09,102.03719999999885,24.491589180050465,236.59999999999854
BIH,NO_DATA,False,2022-01-05,13.72780000000057,0.8239882854100246,751.2
BLR,NO_DATA,False,2022-05-07,17.028699999999663,0.0,482.20000000001164
BLZ,NO_DATA,False,2022-04-04,186.2119000000006,11.721990430621997,1045.0000000000045
BOL,GREEN,True,2022-05-13,12.938499999999475,3.0541503523882554,255.40000000000305
BRA,NO_DATA,False,2022-02-15,83.0478999999992,3.2173631677085623,911.7000000000019
BRB,DARKRED,False,2022-05-17,2035.3969999999972,25.17035457568927,3728.4000000000106
BTN,NO_DATA,False,2022-02-27,19.489699999999722,0.037450379044355164,7532.099999999991
BWA,NO_DATA,False,2022-01-21,17.26990000000078,0.5765835756160942,2098.0999999999995
CAF,GREEN,True,2022-05-15,0.0,0.0,5.19999999999996
CAN,RED,False,2022-05-17,159.85639999999984,9.935970316437803,714.2000000000053
CHE,RED,False,2022-05-16,272.05569999999716,17.615079026057153,702.3000000000138
CHL,RED,False,2022-05-18,283.1353999999992,9.339633378933035,1827.4999999999864
CIV,GREEN,True,2022-05-18,0.24390000000003056,1.146202531645655,15.800000000000125
COD,NO_DATA,True,2021-08-20,0.6602999999999952,4.152830188679215,15.9
COL,GREEN,True,2022-05-12,10.662099999999919,3.2929715302491194,224.79999999999336
CPV,NO_DATA,False,2020-12-10,14.415399999999499,1.234051510648614,403.79999999999995
CRI,RED,False,2022-05-13,393.9051999999996,17.862535324989874,1238.499999999999
CUB,NO_DATA,False,2021-07-04,10.815099999999802,0.20625823152730563,2201.9000000000005
CUW,RED,False,2022-05-13,496.9779999999999,22.416791102815324,1285.8000000000004
CYP,NO_DATA,False,2022-04-14,654.6837999999989,0.514873191683885,52500.5000000001
CZE,RED,False,2022-05-18,59.014100000000326,5.724638783270373,394.4999999999709
DEU,NO_DATA,False,2022-05-01,933.0995999999984,31.373798340378258,1277.4000000000115
DJI,NO_DATA,True,2022-05-01,0.0,0.0,201.20000000000005
DMA,NO_DATA,False,2022-05-04,1323.227899999998,21.637119565217464,2759.999999999991
DNK,RED,False,2022-05-18,172.34620000000578,10.307293485561532,744.4999999999709
DOM,ORANGE,True,2022-05-15,13.438300000000163,5.782118707738649,133.09999999999604
ECU,ORANGE,True,2022-05-13,17.234500000000118,18.463402061855167,77.60000000000105
ESP,RED,False,2022-05-17,482.9436000000016,29.369267624915054,876.5999999999849
EST,RED,False,2022-05-17,197.10410000000266,9.66808389376527,877.3000000000138
ETH,GREEN,True,2022-05-18,0.3894000000000233,1.1035398230089168,22.59999999999991
FIN,DARKRED,False,2022-05-17,512.9081999999995,28.882098507046667,716.6999999999916
FJI,GREEN,False,2022-05-15,15.727099999999336,1.8766432953548233,684.6000000000004
FRA,DARKRED,False,2022-05-14,705.0413999999989,17.003515841434407,1985.3000000000065
FRO,NO_DATA,False,2022-02-24,0.0,0.0,8264.500000000044
GAB,NO_DATA,True,2022-05-01,0.26330000000016296,0.0,49.500000000000455
GBR,RED,False,2022-05-18,191.05480000000097,3.663018724696337,2371.2000000000444
GEO,NO_DATA,False,2022-04-11,0.0,0.0,706.3999999999851
GHA,GREEN,True,2022-05-18,0.32460000000000944,1.3901960784309917,10.200000000000387
GIB,NO_DATA,False,2022-03-18,822.1780000000028,3.5892401874339286,11908.200000000033
GMB,NO_DATA,True,2022-02-08,0.1608999999999469,0.2915458937196719,41.39999999999944
GNB,GREEN,True,2022-05-18,1.339599999999973,2.427397260273925,51.10000000000099
GNQ,NO_DATA,False,2022-02-28,0.0,0.0,12212.600000000004
GRC,DARKRED,False,2022-05-08,595.1836999999999,4.491320813527671,6416.499999999996
GRD,DARKRED,False,2022-05-11,1701.5440999999992,20.738958484872978,3711.8999999999915
GTM,NO_DATA,False,2022-03-11,37.22219999999943,5.248202188639912,383.7999999999994
HRV,RED,False,2022-05-16,181.69089999999852,13.692554991539259,591.0000000000082
HTI,NO_DATA,True,2022-04-20,0.2685999999999694,1.318840579709952,13.799999999999812
HUN,NO_DATA,False,2022-05-02,119.33569999999891,11.78701578192224,418.20000000000164
IDN,NO_DATA,True,2022-03-21,1.4868000000002213,0.2464803312629413,289.7999999999996
IND,GREEN,True,2022-05-18,2.6469999999997524,0.5294786729857152,211.00000000000136
IRL,DARKRED,False,2022-05-18,609.3033999999985,50.07698952879345,764.0000000000327
IRN,GREEN,False,2022-05-18,6.230800000000454,0.9041583499668656,300.5999999999972
IRQ,NO_DATA,True,2022-02-22,3.8076999999997496,0.6659836065573776,292.7999999999997
ISL,RED,False,2022-05-16,318.336599999998,14.39021899771579,1488.5999999999967
ISR,RED,False,2022-05-18,327.3274999999965,4.538009975341741,3568.80000000001
ITA,DARKRED,False,2022-05-19,820.9271999999997,13.332794149434545,2775.799999999981
JAM,RED,False,2022-05-17,98.94190000000017,9.431024464831841,654.000000000002
JOR,GREEN,True,2022-05-13,3.7880999999993947,1.5000505050505384,198.00000000000182
JPN,RED,False,2022-05-18,408.49640000000073,28.558797674748455,705.2999999999997
KAZ,NO_DATA,False,2021-06-08,0.8475999999995111,0.031816638370102984,1472.5000000000023
KEN,GREEN,True,2022-05-18,0.5655999999999949,1.041747572815559,30.89999999999975
KHM,GREEN,True,2022-05-16,0.017700000000058936,0.0,28.899999999998727
KNA,ORANGE,False,2022-05-19,136.33139999999986,1.487897428296145,5397.199999999998
KOR,DARKRED,False,2022-05-18,877.4454999999958,20.464027048172476,1789.4000000000005
KWT,NO_DATA,False,2022-03-12,24.604099999999743,0.804054641956008,1149.2999999999938
LAO,ORANGE,True,2022-05-12,16.790000000000145,16.33311258278217,30.19999999999925
LBN,NO_DATA,False,2021-06-14,15.437700000000769,0.5985231401042749,1266.2000000000035
LBY,NO_DATA,False,2020-11-12,0.5460999999995693,0.13631436314359988,368.99999999999994
LCA,DARKRED,False,2022-05-18,633.4021999999983,4.720431753060684,9213.599999999997
LIE,NO_DATA,False,2022-01-10,384.27350000000445,4.604467984817351,4030.899999999974
LKA,GREEN,True,2022-05-18,1.0791999999997643,1.0913439635530355,43.89999999999645
LSO,ORANGE,True,2022-05-18,7.132800000000134,7.531995776135283,94.70000000000027
LTU,RED,False,2022-05-15,76.47239999999874,9.802049180328385,365.99999999998545
LUX,DARKRED,False,2022-05-18,552.4452999999979,5.943844638680181,1624.6000000000095
LVA,RED,False,2022-05-19,160.85190000000293,6.758238579692962,1002.599999999984
MAR,GREEN,True,2022-05-11,3.052600000000166,1.2060321715819622,149.19999999999618
MDA,NO_DATA,False,2022-01-24,18.364700000001175,0.3651537005318954,2218.5999999999995
MDG,NO_DATA,True,2022-03-12,0.3342000000000098,1.34000000000014,10.500000000000043
MDV,NO_DATA,False,2022-03-14,26.8570000000007,0.5872916493904229,2411.799999999994
MEX,ORANGE,True,2022-05-14,9.796399999999995,25.548039215682824,20.400000000000773
MKD,NO_DATA,False,2022-05-06,50.41630000000005,5.417577869744936,459.1000000000008
MLI,GREEN,True,2022-05-18,0.7432000000000016,1.4099547511312374,22.099999999999653
MLT,RED,False,2022-05-19,265.0649000000005,6.595638968481519,1744.9999999999818
MMR,GREEN,True,2022-05-08,0.4033000000001266,0.15739436619722075,113.60000000000241
MNG,NO_DATA,False,2022-04-15,55.17699999999604,1.7104864549953562,686.5999999999985
MOZ,GREEN,True,2022-05-18,0.43209999999999127,2.148181818182087,10.999999999999943
MRT,NO_DATA,True,2022-03-12,4.858599999999933,1.5111470113085572,185.69999999999993
MWI,GREEN,True,2022-05-18,0.5700000000000728,2.2524590163938565,12.199999999999989
MYS,RED,False,2022-05-17,95.51449999999895,4.629141291108415,985.1999999999862
NAM,RED,True,2022-05-18,63.81059999999998,16.43406881077052,267.3999999999978
NER,GREEN,True,2022-05-15,0.2944999999999993,1.4928571428571407,5.600000000000094
NGA,NO_DATA,True,2022-03-02,0.0747000000000071,0.07015177065770108,59.3
NIC,NO_DATA,True,2022-05-01,0.0,0.0,20.700000000000074
NLD,RED,True,2022-05-17,113.79430000000283,66.09213025781341,73.69999999998527
NOR,RED,True,2022-05-18,61.45679999999993,21.081530139102973,129.40000000000964
NPL,GREEN,True,2022-05-16,0.47520000000004076,0.32421227197376623,60.29999999999802
NZL,DARKRED,False,2022-05-19,2147.4748000000022,222.58740949316265,497.199999999998
